ID,NOMBRE,APELLIDOS,FECHA_NACIMIENTO,DIRECCION,CIUDAD_ID,TELEFONO,VERSION
1,George,Franklin,2000-09-07,110 W. Liberty St.,1,6085551023,0
2,Betty,Davis,2000-09-08,638 Cardinal Ave.,2,6085551749,0
3,Eduardo,Rodriquez,2000-09-09,2693 Commerce St.,3,6085558763,0
4,Harold,Davis,2000-09-10,563 Friendly St.,4,6085553198,0
5,Peter,McTavish,2000-09-11,2387 S. Fair Way,5,6085552765,0
6,Jean,Coleman,2000-09-12,105 N. Lake St.,6,6085552654,0
7,Jeff,Black,2000-09-13,1450 Oak Blvd.,1,6085555387,0
8,Maria,Escobito,2000-09-14,345 Maple St.,2,6085557683,0
9,David,Schroeder,2000-09-15,2749 Blackhawk Trail,3,6085559435,0
10,Carlos,Estaban,2000-09-16,2335 Independence La.,4,6085555487,0
11,Peter,Coleman,2000-09-17,105 N. Lake St.,5,6085555488,0
12,Jean,Schroeder,2000-09-18,345 Maple St.,6,6085555489,0
13,Jeff,Coleman,2000-09-19,105 N. Lake St.,1,6085555490,0
14,Maria,Estaban,2000-09-20,105 N. Lake St.,2,6085555491,0
15,David,McTavish,2000-09-21,105 N. Lake St.,3,6085555492,0
16,Carlos,Rodriquez,2000-09-22,345 Maple St.,4,6085555493,0
